geoid,population,pop_error,longitude,latitude,city,county,zip_code
86000US01730,14070.0,52.0,-71.27834122814797,42.496947705334506,Bedford,Middlesex,z01730
86000US01731,2059.0,142.0,-71.27947684890945,42.4567544304588,Hanscom AFB,Middlesex,z01731
86000US01801,40359.0,91.0,-71.15423926647756,42.48693926798171,Woburn,Middlesex,z01801
86000US01803,27650.0,67.0,-71.2025831003128,42.50215233164556,Burlington,Middlesex,z01803
86000US01810,35816.0,55.0,-71.16505547559348,42.64654541934438,Andover,Essex,z01810
86000US01821,32797.0,525.0,-71.25217664689747,42.550164763425386,Billerica,Middlesex,z01821
86000US01833,8695.0,20.0,-70.9821141973204,42.72400561614462,Georgetown,Essex,z01833
86000US01840,5573.0,567.0,-71.16017856261377,42.706899971525374,Lawrence,Essex,z01840
86000US01841,49367.0,1134.0,-71.16505724783947,42.71080943777365,Lawrence,Essex,z01841
86000US01843,25002.0,1129.0,-71.16096633752602,42.68980769419047,Lawrence,Essex,z01843
86000US01844,50282.0,59.0,-71.18885924187266,42.734016704988235,Methuen,Essex,z01844
86000US01845,30842.0,28.0,-71.08652060119388,42.67134536742952,North Andover,Essex,z01845
86000US01852,35532.0,909.0,-71.29536937543807,42.63233169698853,Lowell,Middlesex,z01852
86000US01862,10623.0,540.0,-71.29340446091737,42.57487942410488,North Billerica,Middlesex,z01862
86000US01864,15581.0,23.0,-71.08754062685935,42.58155046895456,North Reading,Middlesex,z01864
86000US01867,25077.0,85.0,-71.10552965901034,42.535064148857195,Reading,Middlesex,z01867
86000US01876,30878.0,130.0,-71.22745506135972,42.612230727049166,Tewksbury,Middlesex,z01876
86000US01880,26720.0,92.0,-71.06697983613266,42.502287317401944,Wakefield,Middlesex,z01880
86000US01887,23377.0,45.0,-71.1654398051529,42.56092067197328,Wilmington,Middlesex,z01887
86000US01890,22738.0,35.0,-71.14630562885462,42.451791104714566,Winchester,Middlesex,z01890
86000US01901,2135.0,469.0,-70.94651448024361,42.46065508650814,Lynn,Essex,z01901
86000US01902,49641.0,1298.0,-70.93991095825774,42.470650851547504,Lynn,Essex,z01902
86000US01904,17294.0,1097.0,-70.97267181295418,42.491481625791074,Lynn,Essex,z01904
86000US01905,24580.0,922.0,-70.97554539552081,42.465810187071256,Lynn,Essex,z01905
86000US01906,28222.0,42.0,-71.01441535740274,42.46800811024388,Saugus,Essex,z01906
86000US01907,15278.0,187.0,-70.90559257231723,42.4748100515992,Swampscott,Essex,z01907
86000US01908,3502.0,20.0,-70.92594365679041,42.428769507396716,Nahant,Essex,z01908
86000US01915,41885.0,25.0,-70.86184987272274,42.567226410183835,Beverly,Essex,z01915
86000US01921,8282.0,16.0,-71.0189852559486,42.68152123728526,Boxford,Essex,z01921
